"airline","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"AA",725984,245904,166.43328213652,1041.33922235201,755995614,8.9008563467198,3.45137214472568
"AS",172521,43566,179.3397884962,1197.41808243634,206579765,1.78580070967367,-0.976563092411878
"B6",267048,102061,167.83885789301,1062.17517824511,283651757,11.5143526744102,6.67786080094031
"DL",875881,282463,140.471964608888,853.621825339287,747671138,7.36925417661782,0.186753612363905
"EV",571977,169897,97.1242465101523,462.251739143357,264397363,8.71593449776958,6.58537869173974
"F9",90836,34893,155.056676656677,967.214859747237,87857929,13.3508583453317,12.5047064047064
"HA",76272,20146,102.672268907563,632.591842353682,48249045,0.485713159657904,2.0230928051972
"MQ",294632,93726,92.5935162899807,422.31540701621,124427633,10.1251882033095,6.45787346076451
"NK",117379,52089,156.503598308925,985.267117627514,115649669,15.9447658807837,14.4717995017058
"OO",588353,171572,100.724557656368,496.772163989986,292277393,7.80110380841533,5.84565215130007
"UA",515723,256550,190.745815953143,1271.5456844081,655765355,14.435441010806,5.43159393574155
"US",198715,62565,152.402454910078,911.503862315376,181129490,6.1411369177467,3.7062088424131
"VX",61903,23379,205.558434561129,1405.98932200378,87034957,9.02259509652195,4.73770572100313
"WN",1261855,566807,121.201367833143,740.711334503568,934670301,10.5819862951588,4.37496367925705
